COLD_BLAST_FLOW_RATE,O2_FLOW,STEAM_FLOW,HOT_BLAST_TEMP,COAL_RATE_TPH,BFG_CO,BFG_CO2,BFG_H2,UPTAKE_TEMP_AVG,LOWER_K,MIDDLE_K,UPPER_K,HOT_BLAST_PRESSURE,Coke_ASH,Coke_MOISTURE,Coke_VM,Coal_ASH,Coal_VM,Coal_MOIST,I_MOISTURE_COKE,I_SLAGRATE,CIRCUIT_1_HL_MJ_H,CIRCUIT_3_HL_MJ_H,CIRCUIT_4_HL_MJ_H,Burden_CENTRECOKE,Burden_COKE,Burden_NUTCOKE,HM_TEMP (output)
297865.4831,33937.50345,2.799535464,1233.785679,76.56025883,25.62165275,24.84166987,4.227990618,116.7685895,1.813182373,0.820343367,0.477236591,3.87110913,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10748.91259,72148.30568,1815.303194,32.65742984,92.94806954,7.536329963,1515.117647
297638.9151,33819.57184,2.698243904,1233.766612,76.60656043,25.61324983,24.8245134,4.224796333,117.7540683,1.81499182,0.830196125,0.478965174,3.873088701,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10718.15753,71763.9521,1743.492689,32.67641318,93.00209906,7.540710734,1515.823529
297534.1213,33722.91115,2.633083753,1233.752937,76.61964918,25.61193057,24.80344372,4.225424757,118.1430512,1.821059689,0.83211983,0.481162846,3.875094594,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10690.12367,71315.12523,1674.337974,32.69687217,93.06032848,7.545432039,1516.529412
297313.4501,33713.08613,2.613149362,1233.726013,76.61705354,25.6133354,24.79947015,4.229755736,118.2200874,1.821215837,0.832046157,0.482694761,3.873988633,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10665.52022,70918.14627,1604.512117,32.72881347,93.15123834,7.552803108,1517.205882
297126.0594,33712.57215,2.64178525,1233.741306,76.52765341,25.60496583,24.78860573,4.236676789,118.4060375,1.820451076,0.834460831,0.483852251,3.873871132,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10640.43768,70648.91946,1544.496485,32.72980248,93.15405322,7.553031342,1517.735294
297229.705,33711.36485,2.719113152,1233.786384,76.35012062,25.61569728,24.77798383,4.239745647,117.7188365,1.818176937,0.834543729,0.483854243,3.874023603,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10614.83067,70418.48693,1495.598738,32.70566914,93.08536601,7.547462109,1518.264706
297283.2102,33710.66598,2.797532539,1233.78913,76.15802324,25.62704561,24.76666613,4.242246691,117.4499267,1.815131474,0.835525022,0.482417371,3.873379728,17.83547386,3.522875817,0.799901961,10.05084967,14.69254902,0.876470588,4.201633987,297.0490196,10586.32363,70238.95272,1455.907729,32.67088464,92.98636399,7.539434918,1517.911765
297162.0401,33716.10953,2.869176654,1233.856074,75.97251653,25.63586661,24.77149023,4.241129246,115.8169044,1.810141307,0.834731441,0.481810633,3.870615723,17.85204248,3.510326797,0.795784314,10.03986928,14.67960784,0.888235294,4.203594771,297.1078431,10550.21013,70053.64716,1422.381295,32.64613521,92.91592328,7.533723509,1517.558824
297170.9583,33713.51758,2.893868057,1233.848443,75.90281079,25.61905135,24.78007227,4.238566518,113.9577735,1.81207506,0.832818352,0.484281418,3.871905577,17.86861111,3.497777778,0.791666667,10.02888889,14.66666667,0.9,4.205555556,297.1666667,10518.91149,69705.73044,1381.225507,32.63325798,92.8792727,7.530751841,1517.205882
297193.655,33709.42727,2.860046256,1233.846243,75.98019462,25.59131751,24.78546072,4.238710565,113.6548024,1.815556803,0.836737198,0.488560047,3.87656015,17.88517974,3.485228758,0.78754902,10.0179085,14.65372549,0.911764706,4.20751634,297.2254902,10495.8449,69395.23551,1353.278861,32.60644174,92.80294958,7.524563479,1516.852941
